freq_ghz,theta_deg,rcs_db
11.88888888888889,63.0,-8.149306879850831
11.88888888888889,64.0,-1.1841845706701966
11.88888888888889,65.0,-7.720291272475679
11.88888888888889,66.0,-10.73742880723384
11.88888888888889,67.0,-2.754207535765813
11.88888888888889,68.0,-6.152059871766219
11.88888888888889,69.0,-12.370178440462215
11.88888888888889,70.0,-5.162066691115616
11.88888888888889,71.0,-4.732029402126024
11.88888888888889,72.0,-12.844856839634001
11.88888888888889,73.0,-8.030646581606401
11.88888888888889,74.0,-3.9119486719435788
11.88888888888889,75.0,-12.194368630659406
11.88888888888889,76.0,-10.865016731283855
11.88888888888889,77.0,-3.9949010421593476
11.88888888888889,78.0,-10.67855448124218
11.88888888888889,79.0,-13.158898287651574
11.88888888888889,80.0,-5.0678698839627545
11.88888888888889,81.0,-8.726252241103817
11.88888888888889,82.0,-14.503810673551286
11.88888888888889,83.0,-6.981624933578695
11.88888888888889,84.0,-6.8407316750114155
11.88888888888889,85.0,-14.67711750810268
11.88888888888889,86.0,-9.38232696165488
11.88888888888889,87.0,-5.489129971751482
11.88888888888889,88.0,-13.689788645542194
11.88888888888889,89.0,-11.78797105569213
11.88888888888889,90.0,-5.000000579928757
17.333333333333336,-90.0,-5.005004053128137
17.333333333333336,-89.0,-4.99407285407845
17.333333333333336,-88.0,-4.984931230596054
17.333333333333336,-87.0,-4.977575947862771
17.333333333333336,-86.0,-4.971979640817987
17.333333333333336,-85.0,-4.968090948966429
17.333333333333336,-84.0,-4.965834741458062
17.333333333333336,-83.0,-4.96511243171454
17.333333333333336,-82.0,-4.965802380592439
17.333333333333336,-81.0,-4.967760386804429
17.333333333333336,-80.0,-4.970820263044313
17.333333333333336,-79.0,-4.974794495992682
17.333333333333336,-78.0,-4.979474988126167
17.333333333333336,-77.0,-4.9846338789877755
17.333333333333336,-76.0,-4.990024443335512
17.333333333333336,-75.0,-4.995382063338422
17.333333333333336,-74.0,-5.00042527176325
17.333333333333336,-73.0,-5.0048568628638215
17.333333333333336,-72.0,-5.008365067478522
17.333333333333336,-71.0,-5.010624788629477
17.333333333333336,-70.0,-5.011298893729267
17.333333333333336,-69.0,-5.01003955932002
17.333333333333336,-68.0,-5.006489664093096
17.333333333333336,-67.0,-5.000284225789704
17.333333333333336,-66.0,-4.99105187742851
17.333333333333336,-65.0,-4.978416378185777
17.333333333333336,-64.0,-4.96199815412551
17.333333333333336,-63.0,-4.9414158638848065
17.333333333333336,-62.0,-4.916287984319633
17.333333333333336,-61.0,-4.886234411052228
17.333333333333336,-60.0,-4.850878068794417
17.333333333333336,-59.0,-4.809846526284766
17.333333333333336,-58.0,-4.76277361064037
17.333333333333336,-57.0,-4.7093010159146615
17.333333333333336,-56.0,-4.64907990065875
17.333333333333336,-55.0,-4.581772469291298
17.333333333333336,-54.0,-4.507053532126224
17.333333333333336,-53.0,-4.4246120389437475
17.333333333333336,-52.0,-4.334152581063613
17.333333333333336,-51.0,-4.235396856951677
17.333333333333336,-50.0,-4.128085096486391
17.333333333333336,-49.0,-4.0119774391171195
17.333333333333336,-48.0,-3.886855261273414
17.333333333333336,-47.0,-3.7525224485130253
17.333333333333336,-46.0,-3.608806608048277
17.333333333333336,-45.0,-3.455560217460761
17.333333333333336,-44.0,-3.2926617055749112
17.333333333333336,-43.0,-3.1200164616614163
17.333333333333336,-42.0,-2.937557769334109
17.333333333333336,-41.0,-2.7452476617162977
17.333333333333336,-40.0,-2.543077694672011
17.333333333333336,-39.0,-2.331069635132029
17.333333333333336,-38.0,-2.109276061778761
17.333333333333336,-37.0,-1.8777808756091323
17.333333333333336,-36.0,-1.6366997181461524
17.333333333333336,-35.0,-1.3861802953382663
17.333333333333336,-34.0,-1.1264026054511813
17.333333333333336,-33.0,-0.8575790695374819
17.333333333333336,-32.0,-0.5799545633462309
17.333333333333336,-31.0,-0.29380634982302745
17.333333333333336,-30.0,0.0005560883625408408
17.333333333333336,-29.0,0.30279131653401326
17.333333333333336,-28.0,0.6125263159485916
17.333333333333336,-27.0,0.9293569516471267
17.333333333333336,-26.0,1.2528485396063527
17.333333333333336,-25.0,1.5825365122932853
17.333333333333336,-24.0,1.917927181431062
17.333333333333336,-23.0,2.258498596498062
17.333333333333336,-22.0,2.603701497194904
17.333333333333336,-21.0,2.952960357836722
17.333333333333336,-20.0,3.3056745213485472
17.333333333333336,-19.0,3.6612194202738566
17.333333333333336,-18.0,4.018947881943148
17.333333333333336,-17.0,4.3781915146902275
17.333333333333336,-16.0,4.7382621717599775
17.333333333333336,-15.0,5.0984534893078
17.333333333333336,-14.0,5.458042494664002
17.333333333333336,-13.0,5.816291280814881
17.333333333333336,-12.0,6.172448742843261
17.333333333333336,-11.0,6.525752371874409
17.333333333333336,-10.0,6.875430101886346
17.333333333333336,-9.0,7.220702204571362
17.333333333333336,-8.0,7.560783227274597
17.333333333333336,-7.0,7.894883968888598
17.333333333333336,-6.0,8.222213488451182
17.333333333333336,-5.0,8.541981141074308
17.333333333333336,-4.0,8.853398635727915
17.333333333333336,-3.0,9.15568210931572
17.333333333333336,-2.0,9.448054211403875
17.333333333333336,-1.0,9.729746193907825
17.333333333333336,0.0,10.0
17.333333333333336,1.0,10.258070346474089
17.333333333333336,2.0,10.503226793792617
17.333333333333336,3.0,10.73475579804974
17.333333333333336,4.0,10.951962739103491
17.333333333333336,5.0,11.154173919169859
17.333333333333336,6.0,11.340738526224925
17.333333333333336,7.0,11.511030556631328
17.333333333333336,8.0,11.664450691491787
17.333333333333336,9.0,11.800428121331711
17.333333333333336,10.0,11.918422313831817
17.333333333333336,11.0,12.017924719461343
17.333333333333336,12.0,12.098460410008766
17.333333333333336,13.0,12.15958964516846
