freq_ghz,theta_deg,rcs_db
11.88888888888889,-78.0,-7.377036425858682
11.88888888888889,-77.0,-14.057714640112795
11.88888888888889,-76.0,-6.7067030622226165
11.88888888888889,-75.0,-5.107805244455533
11.88888888888889,-74.0,-12.830032957863173
11.88888888888889,-73.0,-8.630934698029948
11.88888888888889,-72.0,-3.419455232083025
11.88888888888889,-71.0,-11.088124934552814
11.88888888888889,-70.0,-10.371211743694923
11.88888888888889,-69.0,-2.5452935712537412
11.88888888888889,-68.0,-8.310649401162175
11.88888888888889,-67.0,-11.123920494766512
11.88888888888889,-66.0,-2.6110077223656094
11.88888888888889,-65.0,-4.94784383733352
11.88888888888889,-64.0,-11.034002552024361
11.88888888888889,-63.0,-3.664088531564871
11.88888888888889,-62.0,-2.3373505033999806
11.88888888888889,-61.0,-9.91848753883157
11.88888888888889,-60.0,-5.130417873381037
11.88888888888889,-59.0,0.1557663966893207
11.88888888888889,-58.0,-7.6125736369948775
11.88888888888889,-57.0,-6.382877448222996
11.88888888888889,-56.0,1.0553864937565522
11.88888888888889,-55.0,-4.580330879746519
11.88888888888889,-54.0,-7.145859438811848
11.88888888888889,-53.0,1.561533121286474
11.88888888888889,-52.0,-1.5404642905633326
11.88888888888889,-51.0,-7.077282454319852
11.88888888888889,-50.0,0.7652011356172059
11.88888888888889,-49.0,1.7585499688676323
11.88888888888889,-48.0,-5.8459704928234215
11.88888888888889,-47.0,-0.372344094356765
11.88888888888889,-46.0,4.111469510918313
11.88888888888889,-45.0,-3.5506231689391266
11.88888888888889,-44.0,-1.6715830861174388
11.88888888888889,-43.0,5.742216378632195
11.88888888888889,-42.0,-0.4297076221666888
11.88888888888889,-41.0,-2.605772513826814
11.88888888888889,-40.0,5.913732428423547
11.88888888888889,-39.0,2.9880262054827424
11.88888888888889,-38.0,-2.4380761442107843
11.88888888888889,-37.0,5.405550331755685
11.88888888888889,-36.0,6.18343204771598
11.88888888888889,-35.0,-1.398102536911861
11.88888888888889,-34.0,4.387542730020352
11.88888888888889,-33.0,8.528749958558443
11.88888888888889,-32.0,0.8734892520338038
11.88888888888889,-31.0,3.079184376377557
11.88888888888889,-30.0,9.975103520715566
